date,description
1/1/14,New Year's Day
2/18/14,Washington's Birthday
5/26/14,Memorial Day
7/4/14,Independence Day
9/1/14,Labor Day
11/11/14,holiday
11/27/14,Thanksgiving
11/28/14,Thanksgiving
12/25/14,Christmas
1/1/15,New Year's Day
1/19/15,Martin Luther King
2/16/15,Washington's Birthday
5/25/15,Memorial Day
7/3/15,Independence Day
9/7/15,Labor Day
11/11/15,holiday
11/26/15,Thanksgiving
11/27/15,Thanksgiving
12/25/15,Christmas
1/1/16,New Year's Day
2/15/16,Washington's Birthday
